Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.02,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.06,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.07,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.10,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"This occurs when the test vehicle is making an autonomous lane change and it cuts across the lane marker into another lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.16,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.22,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.22,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.23,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.23,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.23,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.23,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.24,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.30,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.31,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"This occurs when the test vehicle is making an autonomous lane change and it cuts across the lane marker into another lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.31,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.01.31,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.03,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.04,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.04,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.12,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.12,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"During a lane change, the test vehicle oscillates from left to right in the lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.13,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.13,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.13,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.13,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.26,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.02.27,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.09,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"This occurs when the test vehicle is making an autonomous lane change and it cuts across the lane marker into another lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.12,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.12,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.12,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.13,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"This occurs when the test vehicle is making an autonomous lane change and it cuts across the lane marker into another lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.13,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.13,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.14,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.16,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.16,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.16,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.03.16,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"This occurs when the test vehicle is making an autonomous lane change and it cuts across the lane marker into another lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.09.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.09.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.09.11,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.10.01,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.11.03,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.11.04,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved"
AImotive Inc.,AVT036,2020.11.10,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved"
